,artist,track,week start,week end,place
64,3 Doors Down,Loser,2000-12-30,2001-01-06,61.0
65,3 Doors Down,Loser,2001-01-06,2001-01-13,59.0
66,3 Doors Down,Loser,2001-01-13,2001-01-20,61.0
67,3 Doors Down,Loser,2001-01-20,2001-01-27,66.0
68,3 Doors Down,Loser,2001-01-27,2001-02-03,72.0
69,3 Doors Down,Loser,2001-02-03,2001-02-10,76.0
70,3 Doors Down,Loser,2001-02-10,2001-02-17,75.0
71,3 Doors Down,Loser,2001-02-17,2001-02-24,67.0
72,3 Doors Down,Loser,2001-02-24,2001-03-03,73.0
73,3 Doors Down,Loser,2000-10-21,2000-10-28,76.0
74,3 Doors Down,Loser,2001-03-03,2001-03-10,70.0
75,3 Doors Down,Loser,2000-10-28,2000-11-04,76.0
76,3 Doors Down,Loser,2000-11-04,2000-11-11,72.0
77,3 Doors Down,Loser,2000-11-11,2000-11-18,69.0
78,3 Doors Down,Loser,2000-11-18,2000-11-25,67.0
79,3 Doors Down,Loser,2000-11-25,2000-12-02,65.0
80,3 Doors Down,Loser,2000-12-02,2000-12-09,55.0
81,3 Doors Down,Loser,2000-12-09,2000-12-16,59.0
82,3 Doors Down,Loser,2000-12-16,2000-12-23,62.0
83,504 Boyz,Wobble Wobble,2000-06-17,2000-06-24,57.0
84,504 Boyz,Wobble Wobble,2000-06-24,2000-07-01,64.0
85,504 Boyz,Wobble Wobble,2000-07-01,2000-07-08,70.0
86,504 Boyz,Wobble Wobble,2000-07-08,2000-07-15,75.0
87,504 Boyz,Wobble Wobble,2000-07-15,2000-07-22,76.0
88,504 Boyz,Wobble Wobble,2000-07-22,2000-07-29,78.0
89,504 Boyz,Wobble Wobble,2000-07-29,2000-08-05,85.0
90,504 Boyz,Wobble Wobble,2000-08-05,2000-08-12,92.0
91,504 Boyz,Wobble Wobble,2000-08-12,2000-08-19,96.0
92,504 Boyz,Wobble Wobble,2000-04-15,2000-04-22,57.0
93,504 Boyz,Wobble Wobble,2000-04-22,2000-04-29,34.0
94,504 Boyz,Wobble Wobble,2000-04-29,2000-05-06,25.0
95,504 Boyz,Wobble Wobble,2000-05-06,2000-05-13,17.0
96,504 Boyz,Wobble Wobble,2000-05-13,2000-05-20,17.0
97,504 Boyz,Wobble Wobble,2000-05-20,2000-05-27,31.0
98,504 Boyz,Wobble Wobble,2000-05-27,2000-06-03,36.0
99,504 Boyz,Wobble Wobble,2000-06-03,2000-06-10,49.0
100,504 Boyz,Wobble Wobble,2000-06-10,2000-06-17,53.0
101,98¡,Give Me Just One Night (Una Noche),2000-10-21,2000-10-28,6.0
102,98¡,Give Me Just One Night (Una Noche),2000-10-28,2000-11-04,7.0
103,98¡,Give Me Just One Night (Una Noche),2000-11-04,2000-11-11,22.0
104,98¡,Give Me Just One Night (Una Noche),2000-11-11,2000-11-18,29.0
105,98¡,Give Me Just One Night (Una Noche),2000-11-18,2000-11-25,36.0
106,98¡,Give Me Just One Night (Una Noche),2000-11-25,2000-12-02,47.0
107,98¡,Give Me Just One Night (Una Noche),2000-12-02,2000-12-09,67.0
108,98¡,Give Me Just One Night (Una Noche),2000-12-09,2000-12-16,66.0
109,98¡,Give Me Just One Night (Una Noche),2000-12-16,2000-12-23,84.0
110,98¡,Give Me Just One Night (Una Noche),2000-12-23,2000-12-30,93.0
111,98¡,Give Me Just One Night (Una Noche),2000-08-19,2000-08-26,51.0
112,98¡,Give Me Just One Night (Una Noche),2000-12-30,2001-01-06,94.0
113,98¡,Give Me Just One Night (Una Noche),2000-08-26,2000-09-02,39.0
114,98¡,Give Me Just One Night (Una Noche),2000-09-02,2000-09-09,34.0
115,98¡,Give Me Just One Night (Una Noche),2000-09-09,2000-09-16,26.0
116,98¡,Give Me Just One Night (Una Noche),2000-09-16,2000-09-23,26.0
117,98¡,Give Me Just One Night (Una Noche),2000-09-23,2000-09-30,19.0
118,98¡,Give Me Just One Night (Una Noche),2000-09-30,2000-10-07,2.0
119,98¡,Give Me Just One Night (Una Noche),2000-10-07,2000-10-14,2.0
120,98¡,Give Me Just One Night (Una Noche),2000-10-14,2000-10-21,3.0
121,A*Teens,Dancing Queen,2000-07-08,2000-07-15,97.0
122,A*Teens,Dancing Queen,2000-07-15,2000-07-22,97.0
123,A*Teens,Dancing Queen,2000-07-22,2000-07-29,96.0
124,A*Teens,Dancing Queen,2000-07-29,2000-08-05,95.0
125,A*Teens,Dancing Queen,2000-08-05,2000-08-12,100.0
126,Aaliyah,I Don't Wanna,2000-04-01,2000-04-08,36.0
127,Aaliyah,I Don't Wanna,2000-04-08,2000-04-15,37.0
128,Aaliyah,I Don't Wanna,2000-04-15,2000-04-22,37.0
129,Aaliyah,I Don't Wanna,2000-04-22,2000-04-29,38.0
130,Aaliyah,I Don't Wanna,2000-04-29,2000-05-06,49.0
131,Aaliyah,I Don't Wanna,2000-05-06,2000-05-13,61.0
132,Aaliyah,I Don't Wanna,2000-05-13,2000-05-20,63.0
133,Aaliyah,I Don't Wanna,2000-05-20,2000-05-27,62.0
134,Aaliyah,I Don't Wanna,2000-05-27,2000-06-03,67.0
135,Aaliyah,I Don't Wanna,2000-06-03,2000-06-10,83.0
136,Aaliyah,I Don't Wanna,2000-01-29,2000-02-05,84.0
137,Aaliyah,I Don't Wanna,2000-06-10,2000-06-17,86.0
138,Aaliyah,I Don't Wanna,2000-02-05,2000-02-12,62.0
139,Aaliyah,I Don't Wanna,2000-02-12,2000-02-19,51.0
140,Aaliyah,I Don't Wanna,2000-02-19,2000-02-26,41.0
141,Aaliyah,I Don't Wanna,2000-02-26,2000-03-04,38.0
142,Aaliyah,I Don't Wanna,2000-03-04,2000-03-11,35.0
143,Aaliyah,I Don't Wanna,2000-03-11,2000-03-18,35.0
144,Aaliyah,I Don't Wanna,2000-03-18,2000-03-25,38.0
145,Aaliyah,I Don't Wanna,2000-03-25,2000-04-01,38.0
146,Aaliyah,Try Again,2000-05-20,2000-05-27,10.0
147,Aaliyah,Try Again,2000-05-27,2000-06-03,9.0
148,Aaliyah,Try Again,2000-06-03,2000-06-10,8.0
149,Aaliyah,Try Again,2000-06-10,2000-06-17,6.0
150,Aaliyah,Try Again,2000-06-17,2000-06-24,1.0
151,Aaliyah,Try Again,2000-06-24,2000-07-01,2.0
152,Aaliyah,Try Again,2000-07-01,2000-07-08,2.0
153,Aaliyah,Try Again,2000-07-08,2000-07-15,2.0
154,Aaliyah,Try Again,2000-07-15,2000-07-22,2.0
155,Aaliyah,Try Again,2000-07-22,2000-07-29,3.0
156,Aaliyah,Try Again,2000-03-18,2000-03-25,59.0
157,Aaliyah,Try Again,2000-07-29,2000-08-05,4.0
158,Aaliyah,Try Again,2000-08-05,2000-08-12,5.0
159,Aaliyah,Try Again,2000-08-12,2000-08-19,5.0
160,Aaliyah,Try Again,2000-08-19,2000-08-26,6.0
161,Aaliyah,Try Again,2000-08-26,2000-09-02,9.0
162,Aaliyah,Try Again,2000-09-02,2000-09-09,13.0
163,Aaliyah,Try Again,2000-09-09,2000-09-16,14.0
164,Aaliyah,Try Again,2000-09-16,2000-09-23,16.0
165,Aaliyah,Try Again,2000-09-23,2000-09-30,23.0
166,Aaliyah,Try Again,2000-09-30,2000-10-07,22.0
167,Aaliyah,Try Again,2000-03-25,2000-04-01,53.0
168,Aaliyah,Try Again,2000-10-07,2000-10-14,33.0
169,Aaliyah,Try Again,2000-10-14,2000-10-21,36.0
170,Aaliyah,Try Again,2000-10-21,2000-10-28,43.0
171,Aaliyah,Try Again,2000-04-01,2000-04-08,38.0
172,Aaliyah,Try Again,2000-04-08,2000-04-15,28.0
173,Aaliyah,Try Again,2000-04-15,2000-04-22,21.0
174,Aaliyah,Try Again,2000-04-22,2000-04-29,18.0
175,Aaliyah,Try Again,2000-04-29,2000-05-06,16.0
176,Aaliyah,Try Again,2000-05-06,2000-05-13,14.0
177,Aaliyah,Try Again,2000-05-13,2000-05-20,12.0
178,"Adams, Yolanda",Open My Heart,2000-10-28,2000-11-04,59.0
179,"Adams, Yolanda",Open My Heart,2000-11-04,2000-11-11,66.0
180,"Adams, Yolanda",Open My Heart,2000-11-11,2000-11-18,68.0
181,"Adams, Yolanda",Open My Heart,2000-11-18,2000-11-25,61.0
182,"Adams, Yolanda",Open My Heart,2000-11-25,2000-12-02,67.0
183,"Adams, Yolanda",Open My Heart,2000-12-02,2000-12-09,59.0
184,"Adams, Yolanda",Open My Heart,2000-12-09,2000-12-16,63.0
185,"Adams, Yolanda",Open My Heart,2000-12-16,2000-12-23,67.0
186,"Adams, Yolanda",Open My Heart,2000-12-23,2000-12-30,71.0
187,"Adams, Yolanda",Open My Heart,2000-12-30,2001-01-06,79.0
188,"Adams, Yolanda",Open My Heart,2000-08-26,2000-09-02,76.0
189,"Adams, Yolanda",Open My Heart,2001-01-06,2001-01-13,89.0
190,"Adams, Yolanda",Open My Heart,2000-09-02,2000-09-09,76.0
191,"Adams, Yolanda",Open My Heart,2000-09-09,2000-09-16,74.0
192,"Adams, Yolanda",Open My Heart,2000-09-16,2000-09-23,69.0
193,"Adams, Yolanda",Open My Heart,2000-09-23,2000-09-30,68.0
194,"Adams, Yolanda",Open My Heart,2000-09-30,2000-10-07,67.0
195,"Adams, Yolanda",Open My Heart,2000-10-07,2000-10-14,61.0
196,"Adams, Yolanda",Open My Heart,2000-10-14,2000-10-21,58.0
197,"Adams, Yolanda",Open My Heart,2000-10-21,2000-10-28,57.0
198,"Adkins, Trace",More,2000-07-01,2000-07-08,83.0
199,"Adkins, Trace",More,2000-07-08,2000-07-15,92.0
200,"Adkins, Trace",More,2000-04-29,2000-05-06,84.0
201,"Adkins, Trace",More,2000-05-06,2000-05-13,84.0
202,"Adkins, Trace",More,2000-05-13,2000-05-20,75.0
203,"Adkins, Trace",More,2000-05-20,2000-05-27,73.0
204,"Adkins, Trace",More,2000-05-27,2000-06-03,73.0
205,"Adkins, Trace",More,2000-06-03,2000-06-10,69.0
206,"Adkins, Trace",More,2000-06-10,2000-06-17,68.0
207,"Adkins, Trace",More,2000-06-17,2000-06-24,65.0
208,"Adkins, Trace",More,2000-06-24,2000-07-01,73.0
209,"Aguilera, Christina",What A Girl Wants,2000-01-29,2000-02-05,2.0
210,"Aguilera, Christina",What A Girl Wants,2000-02-05,2000-02-12,2.0
211,"Aguilera, Christina",What A Girl Wants,2000-02-12,2000-02-19,3.0
212,"Aguilera, Christina",What A Girl Wants,2000-02-19,2000-02-26,3.0
213,"Aguilera, Christina",What A Girl Wants,2000-02-26,2000-03-04,4.0
214,"Aguilera, Christina",What A Girl Wants,2000-03-04,2000-03-11,12.0
215,"Aguilera, Christina",What A Girl Wants,2000-03-11,2000-03-18,11.0
216,"Aguilera, Christina",What A Girl Wants,2000-03-18,2000-03-25,13.0
217,"Aguilera, Christina",What A Girl Wants,2000-03-25,2000-04-01,15.0
218,"Aguilera, Christina",What A Girl Wants,2000-04-01,2000-04-08,18.0
219,"Aguilera, Christina",What A Girl Wants,1999-11-27,1999-12-04,71.0
220,"Aguilera, Christina",What A Girl Wants,2000-04-08,2000-04-15,20.0
221,"Aguilera, Christina",What A Girl Wants,2000-04-15,2000-04-22,30.0
222,"Aguilera, Christina",What A Girl Wants,2000-04-22,2000-04-29,40.0
223,"Aguilera, Christina",What A Girl Wants,2000-04-29,2000-05-06,39.0
224,"Aguilera, Christina",What A Girl Wants,2000-05-06,2000-05-13,44.0
225,"Aguilera, Christina",What A Girl Wants,1999-12-04,1999-12-11,51.0
226,"Aguilera, Christina",What A Girl Wants,1999-12-11,1999-12-18,28.0
227,"Aguilera, Christina",What A Girl Wants,1999-12-18,1999-12-25,18.0
228,"Aguilera, Christina",What A Girl Wants,1999-12-25,2000-01-01,13.0
229,"Aguilera, Christina",What A Girl Wants,2000-01-01,2000-01-08,13.0
230,"Aguilera, Christina",What A Girl Wants,2000-01-08,2000-01-15,11.0
231,"Aguilera, Christina",What A Girl Wants,2000-01-15,2000-01-22,1.0
232,"Aguilera, Christina",What A Girl Wants,2000-01-22,2000-01-29,1.0
233,"Aguilera, Christina",I Turn To You,2000-06-17,2000-06-24,17.0
234,"Aguilera, Christina",I Turn To You,2000-06-24,2000-07-01,17.0
235,"Aguilera, Christina",I Turn To You,2000-07-01,2000-07-08,3.0
236,"Aguilera, Christina",I Turn To You,2000-07-08,2000-07-15,3.0
237,"Aguilera, Christina",I Turn To You,2000-07-15,2000-07-22,7.0
238,"Aguilera, Christina",I Turn To You,2000-07-22,2000-07-29,10.0
239,"Aguilera, Christina",I Turn To You,2000-07-29,2000-08-05,17.0
240,"Aguilera, Christina",I Turn To You,2000-08-05,2000-08-12,25.0
241,"Aguilera, Christina",I Turn To You,2000-08-12,2000-08-19,29.0
242,"Aguilera, Christina",I Turn To You,2000-08-19,2000-08-26,29.0
243,"Aguilera, Christina",I Turn To You,2000-04-15,2000-04-22,50.0
244,"Aguilera, Christina",I Turn To You,2000-08-26,2000-09-02,40.0
245,"Aguilera, Christina",I Turn To You,2000-09-02,2000-09-09,43.0
246,"Aguilera, Christina",I Turn To You,2000-09-09,2000-09-16,50.0
247,"Aguilera, Christina",I Turn To You,2000-04-22,2000-04-29,39.0
248,"Aguilera, Christina",I Turn To You,2000-04-29,2000-05-06,30.0
249,"Aguilera, Christina",I Turn To You,2000-05-06,2000-05-13,28.0
250,"Aguilera, Christina",I Turn To You,2000-05-13,2000-05-20,21.0
251,"Aguilera, Christina",I Turn To You,2000-05-20,2000-05-27,19.0
252,"Aguilera, Christina",I Turn To You,2000-05-27,2000-06-03,20.0
253,"Aguilera, Christina",I Turn To You,2000-06-03,2000-06-10,17.0
254,"Aguilera, Christina",I Turn To You,2000-06-10,2000-06-17,17.0
255,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-10-07,2000-10-14,11.0
256,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-10-14,2000-10-21,1.0
257,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-10-21,2000-10-28,1.0
258,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-10-28,2000-11-04,1.0
259,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-11-04,2000-11-11,1.0
260,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-11-11,2000-11-18,4.0
261,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-11-18,2000-11-25,8.0
262,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-11-25,2000-12-02,12.0
263,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-12-02,2000-12-09,22.0
264,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-12-09,2000-12-16,23.0
265,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-08-05,2000-08-12,57.0
266,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-12-16,2000-12-23,43.0
267,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-12-23,2000-12-30,44.0
268,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-08-12,2000-08-19,47.0
269,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-08-19,2000-08-26,45.0
270,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-08-26,2000-09-02,29.0
271,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-09-02,2000-09-09,23.0
272,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-09-09,2000-09-16,18.0
273,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-09-16,2000-09-23,11.0
274,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-09-23,2000-09-30,9.0
275,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-09-30,2000-10-07,9.0
276,Alice Deejay,Better Off Alone,2000-06-10,2000-06-17,30.0
277,Alice Deejay,Better Off Alone,2000-06-17,2000-06-24,36.0
278,Alice Deejay,Better Off Alone,2000-06-24,2000-07-01,37.0
279,Alice Deejay,Better Off Alone,2000-07-01,2000-07-08,39.0
280,Alice Deejay,Better Off Alone,2000-07-08,2000-07-15,49.0
281,Alice Deejay,Better Off Alone,2000-07-15,2000-07-22,57.0
282,Alice Deejay,Better Off Alone,2000-07-22,2000-07-29,63.0
283,Alice Deejay,Better Off Alone,2000-07-29,2000-08-05,65.0
284,Alice Deejay,Better Off Alone,2000-08-05,2000-08-12,68.0
285,Alice Deejay,Better Off Alone,2000-08-12,2000-08-19,79.0
286,Alice Deejay,Better Off Alone,2000-04-08,2000-04-15,79.0
287,Alice Deejay,Better Off Alone,2000-08-19,2000-08-26,86.0
288,Alice Deejay,Better Off Alone,2000-04-15,2000-04-22,65.0
289,Alice Deejay,Better Off Alone,2000-04-22,2000-04-29,53.0
290,Alice Deejay,Better Off Alone,2000-04-29,2000-05-06,48.0
291,Alice Deejay,Better Off Alone,2000-05-06,2000-05-13,45.0
292,Alice Deejay,Better Off Alone,2000-05-13,2000-05-20,36.0
293,Alice Deejay,Better Off Alone,2000-05-20,2000-05-27,34.0
294,Alice Deejay,Better Off Alone,2000-05-27,2000-06-03,29.0
295,Alice Deejay,Better Off Alone,2000-06-03,2000-06-10,27.0
296,"Allan, Gary",Smoke Rings In The Dark,2000-01-22,2000-01-29,80.0
297,"Allan, Gary",Smoke Rings In The Dark,2000-01-29,2000-02-05,78.0
298,"Allan, Gary",Smoke Rings In The Dark,2000-02-05,2000-02-12,76.0
299,"Allan, Gary",Smoke Rings In The Dark,2000-02-12,2000-02-19,77.0
300,"Allan, Gary",Smoke Rings In The Dark,2000-02-19,2000-02-26,92.0
301,Amber,Sexual (Li Da Di),1999-09-25,1999-10-02,99.0
302,Amber,Sexual (Li Da Di),1999-10-09,1999-10-16,96.0
303,Amber,Sexual (Li Da Di),1999-10-16,1999-10-23,96.0
304,Amber,Sexual (Li Da Di),1999-10-23,1999-10-30,99.0
305,Amber,Sexual (Li Da Di),1999-10-30,1999-11-06,98.0
306,Amber,Sexual (Li Da Di),1999-11-06,1999-11-13,98.0
307,Amber,Sexual (Li Da Di),1999-11-20,1999-11-27,95.0
308,Amber,Sexual (Li Da Di),1999-07-17,1999-07-24,99.0
309,Amber,Sexual (Li Da Di),1999-11-27,1999-12-04,88.0
310,Amber,Sexual (Li Da Di),1999-12-04,1999-12-11,88.0
311,Amber,Sexual (Li Da Di),1999-12-11,1999-12-18,79.0
312,Amber,Sexual (Li Da Di),1999-12-18,1999-12-25,76.0
313,Amber,Sexual (Li Da Di),1999-12-25,2000-01-01,69.0
314,Amber,Sexual (Li Da Di),2000-01-01,2000-01-08,69.0
315,Amber,Sexual (Li Da Di),2000-01-08,2000-01-15,59.0
316,Amber,Sexual (Li Da Di),2000-01-15,2000-01-22,58.0
317,Amber,Sexual (Li Da Di),2000-01-22,2000-01-29,58.0
318,Amber,Sexual (Li Da Di),2000-01-29,2000-02-05,49.0
319,Amber,Sexual (Li Da Di),1999-07-24,1999-07-31,99.0
320,Amber,Sexual (Li Da Di),2000-02-05,2000-02-12,44.0
321,Amber,Sexual (Li Da Di),2000-02-12,2000-02-19,42.0
322,Amber,Sexual (Li Da Di),2000-02-19,2000-02-26,46.0
323,Amber,Sexual (Li Da Di),2000-02-26,2000-03-04,50.0
324,Amber,Sexual (Li Da Di),1999-07-31,1999-08-07,96.0
325,Amber,Sexual (Li Da Di),1999-08-07,1999-08-14,96.0
326,Amber,Sexual (Li Da Di),1999-08-14,1999-08-21,100.0
327,Amber,Sexual (Li Da Di),1999-08-21,1999-08-28,93.0
328,Amber,Sexual (Li Da Di),1999-08-28,1999-09-04,93.0
329,Amber,Sexual (Li Da Di),1999-09-04,1999-09-11,96.0
330,Anastacia,I'm Outta Love,2000-06-17,2000-06-24,97.0
331,Anastacia,I'm Outta Love,2000-04-01,2000-04-08,92.0
332,Anastacia,I'm Outta Love,2000-04-22,2000-04-29,95.0
333,"Anthony, Marc",You Sang To Me,2000-04-29,2000-05-06,13.0
334,"Anthony, Marc",You Sang To Me,2000-05-06,2000-05-13,13.0
335,"Anthony, Marc",You Sang To Me,2000-05-13,2000-05-20,13.0
336,"Anthony, Marc",You Sang To Me,2000-05-20,2000-05-27,13.0
337,"Anthony, Marc",You Sang To Me,2000-05-27,2000-06-03,5.0
338,"Anthony, Marc",You Sang To Me,2000-06-03,2000-06-10,2.0
339,"Anthony, Marc",You Sang To Me,2000-06-10,2000-06-17,2.0
340,"Anthony, Marc",You Sang To Me,2000-06-17,2000-06-24,5.0
341,"Anthony, Marc",You Sang To Me,2000-06-24,2000-07-01,7.0
342,"Anthony, Marc",You Sang To Me,2000-07-01,2000-07-08,9.0
343,"Anthony, Marc",You Sang To Me,2000-02-26,2000-03-04,77.0
344,"Anthony, Marc",You Sang To Me,2000-07-08,2000-07-15,12.0
345,"Anthony, Marc",You Sang To Me,2000-07-15,2000-07-22,12.0
346,"Anthony, Marc",You Sang To Me,2000-07-22,2000-07-29,16.0
347,"Anthony, Marc",You Sang To Me,2000-07-29,2000-08-05,20.0
348,"Anthony, Marc",You Sang To Me,2000-08-05,2000-08-12,20.0
349,"Anthony, Marc",You Sang To Me,2000-08-12,2000-08-19,22.0
350,"Anthony, Marc",You Sang To Me,2000-08-19,2000-08-26,25.0
351,"Anthony, Marc",You Sang To Me,2000-08-26,2000-09-02,26.0
352,"Anthony, Marc",You Sang To Me,2000-09-02,2000-09-09,29.0
353,"Anthony, Marc",You Sang To Me,2000-09-09,2000-09-16,35.0
354,"Anthony, Marc",You Sang To Me,2000-03-04,2000-03-11,54.0
355,"Anthony, Marc",You Sang To Me,2000-09-16,2000-09-23,33.0
356,"Anthony, Marc",You Sang To Me,2000-09-23,2000-09-30,40.0
357,"Anthony, Marc",You Sang To Me,2000-09-30,2000-10-07,44.0
358,"Anthony, Marc",You Sang To Me,2000-03-11,2000-03-18,50.0
359,"Anthony, Marc",You Sang To Me,2000-03-18,2000-03-25,43.0
360,"Anthony, Marc",You Sang To Me,2000-03-25,2000-04-01,30.0
361,"Anthony, Marc",You Sang To Me,2000-04-01,2000-04-08,27.0
362,"Anthony, Marc",You Sang To Me,2000-04-08,2000-04-15,21.0
363,"Anthony, Marc",You Sang To Me,2000-04-15,2000-04-22,18.0
364,"Anthony, Marc",You Sang To Me,2000-04-22,2000-04-29,15.0
365,"Anthony, Marc",My Baby You,2000-11-18,2000-11-25,76.0
366,"Anthony, Marc",My Baby You,2000-11-25,2000-12-02,73.0
367,"Anthony, Marc",My Baby You,2000-12-02,2000-12-09,74.0
368,"Anthony, Marc",My Baby You,2000-12-09,2000-12-16,87.0
369,"Anthony, Marc",My Baby You,2000-12-16,2000-12-23,83.0
370,"Anthony, Marc",My Baby You,2000-12-23,2000-12-30,89.0
371,"Anthony, Marc",My Baby You,2000-12-30,2001-01-06,93.0
372,"Anthony, Marc",My Baby You,2001-01-06,2001-01-13,94.0
373,"Anthony, Marc",My Baby You,2001-01-13,2001-01-20,94.0
374,"Anthony, Marc",My Baby You,2001-01-20,2001-01-27,91.0
375,"Anthony, Marc",My Baby You,2000-09-16,2000-09-23,82.0
